Fiscal Year,County,Region,Operation Type,Validated Investigation,Completed RCCI Abuse/Neglect Investigations
2012,Hunt,3-Arlington,Child Placing Agency/Branch,Validated,1
2012,Hunt,3-Arlington,General Residential Operation,Not Validated,1
2012,Hunt,3-Arlington,Residential Treatment Center,Not Validated,7
2012,Jefferson,5-Beaumont,Child Placing Agency/Branch,Not Validated,18
2012,Jefferson,5-Beaumont,Child Placing Agency/Branch,Validated,2
2012,Jefferson,5-Beaumont,General Residential Operation,Not Validated,8
2012,Jim Wells,11-Edinburg,Child Placing Agency/Branch,Not Validated,1
2012,Johnson,3-Arlington,Child Placing Agency/Branch,Not Validated,2
2012,Jones,2-Abilene,Child Placing Agency/Branch,Not Validated,2
2012,Kaufman,3-Arlington,Child Placing Agency/Branch,Not Validated,7
2012,Kaufman,3-Arlington,General Residential Operation,Not Validated,1
2012,Kendall,8-San Antonio,Child Placing Agency/Branch,Not Validated,7
2012,Kendall,8-San Antonio,General Residential Operation,Not Validated,5
2012,Kendall,8-San Antonio,Residential Treatment Center,Not Validated,7
2012,Kendall,8-San Antonio,Residential Treatment Center,Validated,1
2012,Kerr,8-San Antonio,Child Placing Agency/Branch,Not Validated,9
2012,Kerr,8-San Antonio,Child Placing Agency/Branch,Validated,1
2012,Kerr,8-San Antonio,General Residential Operation,Not Validated,9
2012,Kerr,8-San Antonio,Residential Treatment Center,Not Validated,11
2012,Lampasas,7-Austin,General Residential Operation,Not Validated,10
2012,Liberty,6-Houston,Child Placing Agency/Branch,Not Validated,2
2012,Limestone,7-Austin,Child Placing Agency/Branch,Not Validated,1
2012,Lubbock,1-Lubbock,Child Placing Agency/Branch,Not Validated,33
2012,Lubbock,1-Lubbock,Child Placing Agency/Branch,Validated,1
2012,Lubbock,1-Lubbock,General Residential Operation,Not Validated,12
2012,Lubbock,1-Lubbock,Residential Treatment Center,Not Validated,17
2012,Lubbock,1-Lubbock,Residential Treatment Center,Validated,1
2012,Matagorda,6-Houston,Agency Home,Not Validated,1
2012,Matagorda,6-Houston,Residential Treatment Center,Not Validated,2
2012,McCulloch,9-Midland,Agency Home,Not Validated,1
2012,McCulloch,9-Midland,Child Placing Agency/Branch,Not Validated,1
2012,McLennan,7-Austin,Agency Home,Not Validated,1
2012,McLennan,7-Austin,Child Placing Agency/Branch,Not Validated,8
2012,McLennan,7-Austin,General Residential Operation,Not Validated,4
2012,McLennan,7-Austin,Residential Treatment Center,Not Validated,21
2012,McLennan,7-Austin,Residential Treatment Center,Validated,2
2012,Medina,8-San Antonio,Child Placing Agency/Branch,Not Validated,5
2012,Medina,8-San Antonio,General Residential Operation,Not Validated,2
2012,Medina,8-San Antonio,General Residential Operation,Validated,1
2012,Midland,9-Midland,Child Placing Agency/Branch,Not Validated,5
2012,Midland,9-Midland,General Residential Operation,Not Validated,4
2012,Midland,9-Midland,General Residential Operation,Validated,1
2012,Milam,7-Austin,General Residential Operation,Not Validated,4
2012,Mills,7-Austin,Child Placing Agency/Branch,Not Validated,2
2012,Mills,7-Austin,Residential Treatment Center,Not Validated,9
2012,Montgomery,6-Houston,Agency Home,Not Validated,2
2012,Montgomery,6-Houston,Child Placing Agency/Branch,Not Validated,18
2012,Montgomery,6-Houston,General Residential Operation,Not Validated,1
2012,Montgomery,6-Houston,Residential Treatment Center,Not Validated,2
2012,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Not Validated,1
2012,Nacogdoches,5-Beaumont,Residential Treatment Center,Not Validated,4
2012,Navarro,3-Arlington,Agency Home,Not Validated,1
2012,Navarro,3-Arlington,Child Placing Agency/Branch,Not Validated,13
2012,Navarro,3-Arlington,Residential Treatment Center,Not Validated,2
2012,Nueces,11-Edinburg,Child Placing Agency/Branch,Not Validated,50
2012,Nueces,11-Edinburg,Child Placing Agency/Branch,Validated,1
2012,Nueces,11-Edinburg,General Residential Operation,Not Validated,1
2012,Oldham,1-Lubbock,General Residential Operation,Not Validated,4
2012,Oldham,1-Lubbock,General Residential Operation,Validated,1
2012,Orange,5-Beaumont,Child Placing Agency/Branch,Not Validated,4
2012,Orange,5-Beaumont,Child Placing Agency/Branch,Validated,1
2012,Parker,3-Arlington,Child Placing Agency/Branch,Not Validated,3
2012,Polk,5-Beaumont,Child Placing Agency/Branch,Not Validated,2
2012,Potter,1-Lubbock,Child Placing Agency/Branch,Not Validated,11
2012,Potter,1-Lubbock,General Residential Operation,Not Validated,1
2012,Randall,1-Lubbock,Child Placing Agency/Branch,Not Validated,1
2012,Randall,1-Lubbock,General Residential Operation,Not Validated,10
2012,Real,8-San Antonio,Child Placing Agency/Branch,Not Validated,6
2012,Real,8-San Antonio,Child Placing Agency/Branch,Validated,1
2012,Refugio,11-Edinburg,Child Placing Agency/Branch,Not Validated,1
2012,Robertson,7-Austin,Child Placing Agency/Branch,Not Validated,1
2012,Rockwall,3-Arlington,Child Placing Agency/Branch,Not Validated,1
2012,Rusk,4-Tyler,Child Placing Agency/Branch,Not Validated,3
2012,Rusk,4-Tyler,Child Placing Agency/Branch,Validated,1
2012,San Patricio,11-Edinburg,General Residential Operation,Not Validated,5
2012,San Patricio,11-Edinburg,Residential Treatment Center,Not Validated,3
2012,San Saba,7-Austin,General Residential Operation,Not Validated,1
2012,Scurry,2-Abilene,Child Placing Agency/Branch,Not Validated,2
2012,Shelby,5-Beaumont,Child Placing Agency/Branch,Not Validated,7
2012,Smith,4-Tyler,Agency Home,Not Validated,3
2012,Smith,4-Tyler,Child Placing Agency/Branch,Not Validated,27
2012,Smith,4-Tyler,Child Placing Agency/Branch,Validated,3
2012,Smith,4-Tyler,General Residential Operation,Not Validated,9
2012,Smith,4-Tyler,Residential Treatment Center,Not Validated,16
2012,Starr,11-Edinburg,Child Placing Agency/Branch,Not Validated,2
2012,Starr,11-Edinburg,Child Placing Agency/Branch,Validated,1
2012,Tarrant,3-Arlington,Child Placing Agency/Branch,Not Validated,160
2012,Tarrant,3-Arlington,Child Placing Agency/Branch,Validated,6
2012,Tarrant,3-Arlington,General Residential Operation,Not Validated,9
2012,Taylor,2-Abilene,Child Placing Agency/Branch,Not Validated,17
2012,Taylor,2-Abilene,General Residential Operation,Not Validated,7
2012,Titus,4-Tyler,Child Placing Agency/Branch,Not Validated,1
2012,Tom Green,9-Midland,Child Placing Agency/Branch,Not Validated,1
2012,Tom Green,9-Midland,General Residential Operation,Not Validated,1
2012,Travis,7-Austin,Agency Home,Not Validated,2
2012,Travis,7-Austin,Child Placing Agency/Branch,Not Validated,108
2012,Travis,7-Austin,Child Placing Agency/Branch,Validated,5
2012,Travis,7-Austin,General Residential Operation,Not Validated,15
2012,Travis,7-Austin,Residential Treatment Center,Not Validated,17
2012,Trinity,5-Beaumont,Child Placing Agency/Branch,Not Validated,1
2012,Tyler,5-Beaumont,Child Placing Agency/Branch,Not Validated,3
2012,Tyler,5-Beaumont,Residential Treatment Center,Not Validated,6
2012,Upton,9-Midland,Agency Home,Not Validated,1
2012,Val Verde,8-San Antonio,Agency Home,Not Validated,1
2012,Van Zandt,4-Tyler,Child Placing Agency/Branch,Not Validated,1
2012,Victoria,8-San Antonio,Child Placing Agency/Branch,Not Validated,7
2012,Victoria,8-San Antonio,Residential Treatment Center,Not Validated,16
2012,Victoria,8-San Antonio,Residential Treatment Center,Validated,1
2012,Walker,6-Houston,General Residential Operation,Not Validated,11
2012,Walker,6-Houston,Residential Treatment Center,Not Validated,3
2012,Waller,6-Houston,Child Placing Agency/Branch,Not Validated,2
2012,Webb,11-Edinburg,Child Placing Agency/Branch,Not Validated,9
2012,Webb,11-Edinburg,Child Placing Agency/Branch,Validated,3
2012,Webb,11-Edinburg,General Residential Operation,Not Validated,3
2012,Wichita,2-Abilene,Child Placing Agency/Branch,Validated,1
2012,Wichita,2-Abilene,General Residential Operation,Not Validated,1
2012,Williamson,7-Austin,Agency Home,Not Validated,1
2012,Williamson,7-Austin,Child Placing Agency/Branch,Not Validated,39
2012,Williamson,7-Austin,General Residential Operation,Not Validated,5
2012,Williamson,7-Austin,Residential Treatment Center,Not Validated,5
2012,Wilson,8-San Antonio,Agency Home,Not Validated,1
2012,Wilson,8-San Antonio,Child Placing Agency/Branch,Not Validated,1
2012,Wood,4-Tyler,Agency Home,Not Validated,1
2012,Wood,4-Tyler,Child Placing Agency/Branch,Not Validated,2
